Medicine_name,Type_of_medicine,Manufacture_Date,Expiry_Date,Purpose,Stock_Availability_Opening Stock_Quantity,Stock_Availability_Opening Stock_Unit Price,Stock_Availability_Stock_IN_Date,Stock_Availability_Stock_IN_Quantity,Stock_Availability_Stock_IN_Total Price,Stock_Availability_Stock_OUT_Date,Stock_Availability_Stock_OUT_Quantity,Stock_Availability_Stock_OUT_Total Price,Stock_Availability_Balance Stock_Quantity,Stock_Availability_Balance_Stock_Total Price,Quantity,Stock
Lingnocaine ,HCL injection ,8/8/2020,8/8/2023,To cause numbness(or) loss of feeling for patient having certain medical procedure,100,100,6/20/2020,900,9000,8/8/2023,100,1000,900,9000,900,69
Lingnocaine ,Ointment,8/9/2020,7/31/2023,Prevents & treats pain caused by some procedures,500,200,9/12/2025,901,5000,7/31/2027,500,5000,0,0,0,88
Prilocaine Lignocaine,Injection,8/10/2020,7/15/2024,Anaesthetic,150,50,8/26/2025,902,8500,7/15/2028,150,1500,850,8500,850,22
Alprazolam,Tablet,8/11/2020,7/29/2030,To treat anxiety & panic disorders,450,50,8/9/2020,903,6599,7/29/2030,950,9500,50,500,50,86
Alprazolam,Tablet,6/20/2020,6/20/2027,To treat anxiety & panic disorders,200,200,9/12/2022,904,8000,6/20/2027,200,2000,800,8000,800,22
Amitriptyline,Tablet,2/4/2018,2/4/2022,To treat nerve pain&back pain to help prevent migraine attacks,400,100,2/4/2018,905,6000,2/4/2022,900,9000,100,1000,905,92
Midazolim,Injection,9/12/2022,9/12/2025,To produce sleepiness or drowsiness &relieve anxiety before surgery or certain procedures,250,150,2/10/2023,906,7500,9/12/2025,250,2500,750,7500,906,65
Midazolim,nasal Spray,7/7/2027,7/7/2029,For emergency situation to stop cluster seizures,350,150,8/8/2020,907,6500,7/7/2029,850,8500,150,1500,907,34
Propantheline,Tablet,8/24/2021,8/24/2023,To treat ulcers,300,150,8/11/2020,908,7000,8/24/2023,300,3000,700,7000,908,21
Paracetamol,suppository,2/10/2023,2/10/2026,To treat pain and high temperature(fever) in children from 1 to 5 years age,500,150,9/12/2025,909,5000,2/10/2026,800,8000,200,2000,909,37
Paracetamol,Injection,8/26/2025,8/26/2028,Short trem treatment of fever ,450,150,6/20/2020,910,5500,7/15/2028,350,3500,650,6500,910,43
Paracetamol,Tablet,9/12/2022,9/12/2025,"Treat headaches,migraine,nerve pain,sore throat,muscle ache and common cold",400,150,8/8/2020,911,6000,8/8/2023,750,7500,250,2500,911,54
Paracetamol,Tablet,8/24/2021,8/24/2023,Treatment of pain and fever ,350,150,8/9/2020,912,6500,7/15/2028,400,4000,600,6000,912,12
Paracetamol,Drops,7/7/2027,7/7/2029,Pain relif ,300,150,8/10/2020,913,7000,7/29/2030,700,7000,300,3000,913,87
Diclofenac Sodium,Spray,6/20/2020,6/20/2027,To relive pain and swelling due to trauma in small and medium joints and surrounding tissues,250,150,8/11/2020,914,7500,9/12/2025,450,4500,550,5500,914,45
Diclofenac Sodium+Sprratiopeptidase,Tablet,7/31/2020,7/31/2023,To treat pain and inflammation,200,,8/9/2020,915,8000,7/31/2027,650,6500,350,3500,915,43
Diclofenac Potassium,Tablet,2/10/2023,2/10/2026,Used to relieve mild to modrate pain swelling and joint stiffiness from arthritis,150,150,2/10/2023,916,8500,7/7/2029,500,5000,500,5000,916,14
Diclofenac Potassium,Tablet,2/4/2018,2/4/2022,Used to relieve mild to modrate pain swelling and joint stiffiness from arthritis,100,151,2/4/2018,917,9000,9/12/2025,600,6000,400,4000,917,13
Diclofenac Potassium,Gel,6/20/2020,6/20/2027,Used to reduce the swelling,100,152,9/12/2025,918,9000,2/10/2026,550,5500,450,4500,918,75
Piroxicam,Injection,7/29/2020,7/29/2030,Relive pain tenderness,150,153,8/8/2020,919,8500,2/4/2022,1000,1000,0,1500,919,97
Piroxicam,Gel,6/25/2027,6/25/2030,Reduce inflammation and relieve pain,200,154,7/7/2029,920,8000,8/8/2023,950,9500,50,500,920,65
Piroxicam,Tablet,8/26/2025,8/26/2028,To treat pain and help relieve symptoms of arthritits,250,155,9/12/2022,921,7500,7/15/2028,900,9000,100,1000,921,23
Mefenamic acid,Syrup,2/4/2018,2/4/2022,To relieve mild to modrate pain including menstrual pain,300,156,8/26/2025,922,7000,8/24/2023,850,8500,150,1500,922,86
Mefenamic acid,DT,7/7/2027,7/7/2029,Treat mild to modrate pain,350,157,2/4/2018,923,6500,9/12/2025,800,8000,200,2000,923,55
Mefenamic acid,Spray,9/12/2022,9/12/2025,Treat mild to modrate pain,400,158,7/7/2029,924,6000,7/31/2027,750,7500,250,2500,924,78
Mefenamic acid,Capsules,2/10/2023,2/10/2026,Short term treatment of mild to modrate pain,450,159,8/10/2020,925,5500,7/15/2028,700,7000,300,3000,925,65
Aceclofenac,Gel,6/20/2020,6/20/2027,Pian killer,500,160,7/7/2027,926,5000,7/29/2030,650,6500,350,3500,926,56
Scrratiopeptidase,Tablet,8/24/2021,8/24/2023,"Anti inflammatory purpose after impaction,mixillofacial trauma and infections",100,161,8/9/2020,927,9000,2/10/2026,600,6000,400,4000,927,77
Lornoxicam,Tablet,9/12/2022,9/12/2025,Used as a pain killer,400,162,2/4/2018,928,6000,7/7/2029,550,5500,450,4500,928,89
Lornoxicam,Tablet,8/8/2020,8/8/2023,Used as a pain killer,100,163,8/8/2020,929,7000,7/29/2030,500,5000,500,5000,929,52
Etoricoxib,Tablet,7/15/2020,7/15/2024,reduce the pain and swelling,150,164,9/12/2025,930,8500,7/15/2028,450,4500,550,5500,930,50
Etoricoxib,Tablet,2/4/2018,2/4/2022,reduce the pain and swelling,450,165,8/26/2025,931,5500,8/24/2023,400,4000,600,6000,931,23
Etoricoxib,Tablet,8/26/2025,8/26/2028,reduce the pain and swelling,150,166,2/10/2023,932,8500,8/8/2023,350,3500,650,6500,932,66
